"dilfactor","Interaction_presence","Interaction_value","Interaction_sign","Mutual_interactions","Number of iterations","Number of dilution cycles","Fixation_threshold","group_success_rate","success_rate","shannons","group_extinctions"
0.1,0.01,0.1,-1,FALSE,100,200,0.5,"0.9;0;0.99;0.98;1;1;1;1;1;0",0,"0.541064963877643;0;0.414589762832729;0.230708553708837;0.100814902144966;0.0948274260037254;0.0231000519663027;0;0;0","0;1;0;0;0;0;0;0;0;1"
0.1,1,0.1,2,FALSE,100,200,0.5,"0.21;0;0.22;0.27;0.21;0.23;0.21;0.23;0.28;0",0,"1.38401664266563;0;1.35996450168555;1.33640067079054;1.36953239796862;1.3567688778516;1.34369729204588;1.31330935185791;1.27339531714352;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.1,0.1,2,FALSE,100,200,0.5,"0.69;0;0.7;0.75;0.73;0.65;0.73;0.64;0.63;0",0,"0.827965831280093;0;0.86965485370923;0.791474101282181;0.768387158250575;0.873870994173435;0.773284427925673;0.832905285222028;0.81657439866859;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.01,0.1,2,FALSE,100,200,0.5,"0.88;0;0.96;1;1;1;1;1;1;0",0,"0.403806885363473;0;0.280635685746615;0.189443603473944;0.110550484819105;0.071896905859794;0.0769362689263758;0.00521393747129433;0;0","0;1;0;0;0;0;0;0;0;1"
0.1,1,0.01,1,FALSE,100,200,0.5,"0;0;0;0;0;0;0;0;0;0",0,"2.26020675593377;0;2.26851116423714;2.27243040455347;2.2734244947919;2.27773168697654;2.27881209040695;2.28144573919118;2.28366676012093;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.1,0.01,1,FALSE,100,200,0.5,"0.06;0;0.08;0.06;0.02;0.07;0.07;0.05;0.01;0",0,"1.72066074005547;0;1.74600752856521;1.72847338264868;1.73805559858628;1.73612571639573;1.74273928708721;1.79469298248666;1.83795113076328;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.01,0.01,1,FALSE,100,200,0.5,"0.87;0;0.93;0.98;0.99;0.98;0.98;1;0.99;0",0,"0.665686268199758;0;0.441420896369381;0.358907684833368;0.269832003912278;0.212883700769362;0.107127529892787;0.108882823926854;0.0416366357187575;0","0;1;0;0;0;0;0;0;0;1"
0.1,1,0.01,-1,FALSE,100,200,0.5,"1;0.1;1;1;1;1;1;1;0.96;0.1",0.1,"0.0843503273235594;0.0138629436111989;0.0783803101767281;0.0670329985704447;0.0873260366989566;0.0642512445517901;0.0498493261971018;0.0315968295042543;0.00235133522815689;0.00297808295479579","0;0.9;0;0;0;0;0;0;0.04;0.9"
0.1,0.1,0.01,-1,FALSE,100,200,0.5,"0.94;0;0.99;1;1;1;1;1;1;0",0,"0.409589961343351;0;0.270067403674497;0.135532155405309;0.101757036254342;0.0611739406852465;0.0220892558354949;0;0;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.01,0.01,-1,FALSE,100,200,0.5,"0.89;0;0.94;0.99;1;0.99;1;1;1;0",0,"0.592878364053645;0;0.361651076744083;0.247387355963733;0.164556229032642;0.100398913324602;0.0614620787059087;0.00836132454831704;0;0","0;1;0;0;0;0;0;0;0;1"
0.1,1,0.01,2,FALSE,100,200,0.5,"0.21;0;0.23;0.31;0.34;0.37;0.25;0.28;0.26;0",0,"1.37033323504951;0;1.34295373286621;1.30676327248945;1.27880448096502;1.25924523721626;1.36819025882926;1.30303232005158;1.37749605858954;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.1,0.01,2,FALSE,100,200,0.5,"0.56;0;0.74;0.75;0.74;0.83;0.73;0.72;0.68;0",0,"0.992596225424191;0;0.867753012222885;0.901115972247731;0.788917849290492;0.709132521823222;0.763214792209861;0.79125120531463;0.794629584647839;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.01,0.01,2,FALSE,100,200,0.5,"0.83;0;0.96;1;1;1;1;1;1;0",0,"0.688432520988292;0;0.383376666705992;0.274940233875849;0.243746051649723;0.110902900890133;0.0652347071889727;0.025269259699781;0.0069056947445343;0","0;1;0;0;0;0;0;0;0;1"
0.1,1,0.001,1,FALSE,100,200,0.5,"0;0;0;0;0;0;0;0;0;0",0,"1.99105647384433;0;2.03945361421345;2.07789421490219;2.08481684437421;2.06283573885111;2.09661412204354;2.11908745008526;2.14287207380257;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.1,0.001,1,FALSE,100,200,0.5,"0.72;0;0.67;0.69;0.69;0.61;0.69;0.78;0.56;0",0,"0.957130665601988;0;0.976010780637907;0.941613199037071;0.925905865637728;1.00626923259457;0.947387413081643;0.938383099856132;1.09650973363035;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.01,0.001,1,FALSE,100,200,0.5,"0.89;0;0.94;0.96;0.97;1;0.99;1;1;0",0,"0.670935221162896;0;0.484274492356879;0.419903491471124;0.304931895292783;0.188186378665224;0.214015910396091;0.0869136613243575;0.0891473120085888;0","0;1;0;0;0;0;0;0;0;1"
0.1,1,0.001,-1,FALSE,100,200,0.5,"1;0;1;1;1;1;1;1;1;0",0,"0.169231929056482;0;0.0748721200181273;0.0441220614656752;0.021483066107858;0;0;0;0;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.1,0.001,-1,FALSE,100,200,0.5,"0.96;0;0.96;0.97;1;1;1;1;1;0",0,"0.442955948495735;0;0.367100853409094;0.267114726054568;0.155661808328609;0.0892093076320747;0.0371900802404251;0.00667756047807879;0;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.01,0.001,-1,FALSE,100,200,0.5,"0.92;0;0.96;0.97;1;1;1;1;1;0",0,"0.557484965385968;0;0.406140926867996;0.309962987921806;0.157862615289326;0.147559183390479;0.0276375479678757;0.012795168930762;0;0","0;1;0;0;0;0;0;0;0;1"
0.1,1,0.001,2,FALSE,100,200,0.5,"0.59;0;0.68;0.52;0.49;0.62;0.62;0.61;0.52;0",0,"1.07232835344328;0;1.07293217371986;1.06381079313932;1.07942979934586;1.03160568249047;1.01990109946488;0.995690183410966;1.00166365978523;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.1,0.001,2,FALSE,100,200,0.5,"0.84;0;0.81;0.88;0.9;0.87;0.94;0.88;0.96;0",0,"0.755018032364737;0;0.673988188940573;0.651141252709418;0.460751407367358;0.562208057364849;0.50266700752284;0.477690141420871;0.373709341717272;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.01,0.001,2,FALSE,100,200,0.5,"0.92;0;0.93;0.98;0.99;0.97;1;1;1;0",0,"0.569106400948292;0;0.496856175700494;0.34815279164982;0.263293406572767;0.182536660454605;0.137791497637311;0.0593884951996624;0.0139297741337814;0","0;1;0;0;0;0;0;0;0;1"
0.1,1,1e-04,1,FALSE,100,200,0.5,"0.62;0;0.51;0.56;0.51;0.57;0.43;0.53;0.53;0",0,"1.08175995134871;0;1.15753208507723;1.17415292247315;1.2046547200715;1.17786283681926;1.2609953936946;1.22914918175022;1.25644450334667;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.1,1e-04,1,FALSE,100,200,0.5,"0.8;0;0.89;0.92;1;0.97;0.97;0.98;0.97;0",0,"0.655205879334771;0;0.466931572036466;0.389524091537065;0.370396451360608;0.276804931222259;0.251014116700102;0.268528535666872;0.2368435038393;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.01,1e-04,1,FALSE,100,200,0.5,"0.86;0;0.96;0.98;0.99;1;1;1;1;0",0,"0.597711969984221;0;0.413418963958185;0.287268477817329;0.22720595510016;0.135770022158153;0.0807446102180954;0.0492201670406294;0.0219768267254304;0","0;1;0;0;0;0;0;0;0;1"
0.1,1,1e-04,-1,FALSE,100,200,0.5,"0.91;0;0.99;0.99;1;1;1;1;1;0",0,"0.548509024662674;0;0.387845401360198;0.177888903694847;0.121416762996517;0.0610039934166192;0.0322139082036268;0;0;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.1,1e-04,-1,FALSE,100,200,0.5,"0.86;0;0.96;0.97;1;1;1;1;1;0",0,"0.623797888523987;0;0.431400408322897;0.252824916732862;0.185569529714493;0.0915187197160871;0.0561060270693211;0.0250855374245131;0;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.01,1e-04,-1,FALSE,100,200,0.5,"0.85;0;0.94;0.97;1;1;1;1;1;0",0,"0.607230278469936;0;0.366605746941394;0.287797116034163;0.173557489144308;0.1207857874119;0.126921665511285;0;0;0","0;1;0;0;0;0;0;0;0;1"
0.1,1,1e-04,2,FALSE,100,200,0.5,"0.85;0;0.9;0.91;0.92;0.95;0.94;0.95;0.95;0",0,"0.658359622263137;0;0.596108693874974;0.507821938369697;0.466226510212376;0.453040436748898;0.407296223580355;0.404489170480247;0.404412301767401;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.1,1e-04,2,FALSE,100,200,0.5,"0.81;0;0.94;1;0.97;0.98;1;1;1;0",0,"0.597987625164549;0;0.476444968561935;0.337635468247167;0.296126842292967;0.224175241218979;0.195789352185511;0.109218301095326;0.115564740791645;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.01,1e-04,2,FALSE,100,200,0.5,"0.94;0;0.97;0.97;0.99;1;1;1;1;0",0,"0.556976555878609;0;0.391665151180136;0.262747412903672;0.290891597296719;0.135464684289599;0.0814545044431866;0.00714663727796598;0.0166996032718339;0","0;1;0;0;0;0;0;0;0;1"
